Area Fips,State Name,Annual Avg Emplvl,Annual Avg Estabs,Annual Avg Wkly Wage,Avg Annual Pay,Total Annual Wages
01000,Alabama,2105674,160887,1193,62044,130644817070
01001,Alabama,12383,1120,977,50826,629398983
01003,Alabama,85118,8757,984,51157,4354332805
01005,Alabama,7711,595,877,45590,351548790
01007,Alabama,4828,445,1020,53062,256159162
01009,Alabama,9094,956,879,45687,415451995
01011,Alabama,2788,208,975,50696,141348488
01013,Alabama,6789,526,883,45927,311782724
01015,Alabama,43778,2828,988,51354,2248150725
01017,Alabama,9087,779,1003,52152,473922847
01019,Alabama,5352,498,859,44658,239000360
01021,Alabama,9143,922,915,47595,435176674
01023,Alabama,3299,354,1189,61814,203924058
01025,Alabama,8150,730,986,51247,417638516
01027,Alabama,4241,254,857,44540,188904303
01029,Alabama,2721,289,1054,54823,149178424
01031,Alabama,17365,1372,893,46411,805938263
01033,Alabama,24495,1621,1116,58010,1420955338
01035,Alabama,3294,286,919,47783,157412076
01037,Alabama,1452,158,988,51388,74602982
01039,Alabama,12174,1134,919,47800,581920190
01041,Alabama,3556,300,928,48253,171575520
01043,Alabama,31068,2308,996,51811,1609683249
01045,Alabama,18260,1130,1237,64321,1174518180
01047,Alabama,11290,976,957,49753,561692845
01049,Alabama,23367,1482,969,50391,1177462453
01051,Alabama,21539,1787,923,48014,1034186120
01053,Alabama,12924,934,988,51384,664071124
01055,Alabama,33010,2439,895,46564,1537077755
01057,Alabama,3926,370,863,44897,176284710
01059,Alabama,10956,691,928,48266,528791608
01061,Alabama,5471,605,819,42591,233027307
01063,Alabama,1741,174,828,43043,74933900
01065,Alabama,2607,331,945,49126,128054557
01067,Alabama,3919,420,1085,56425,221109615
01069,Alabama,50877,3720,1029,53521,2722984658
01071,Alabama,15446,1192,950,49421,763327806
01073,Alabama,367081,22923,1376,71562,26269202429
01075,Alabama,3403,300,978,50837,172985189
01077,Alabama,30845,2558,899,46767,1442549252
01079,Alabama,6054,572,992,51594,312339858
01081,Alabama,66643,4362,1027,53394,3558342376
01083,Alabama,34080,2050,1206,62717,2137406415
01085,Alabama,2675,207,1283,66726,178492350
01087,Alabama,4827,310,1095,56933,274832630
01089,Alabama,229807,13778,1482,77051,17706841421
01091,Alabama,7271,568,1027,53415,388372436
01093,Alabama,10222,712,927,48179,492500420
01095,Alabama,40812,2582,927,48206,1967411142
01097,Alabama,175327,12216,1187,61700,10817638079
01099,Alabama,5953,488,1026,53376,317770613
01101,Alabama,132903,7267,1185,61610,8188088851
01103,Alabama,52617,3362,1153,59944,3154046587
01105,Alabama,1826,184,809,42082,76827227
01107,Alabama,3718,398,977,50820,188972820
01109,Alabama,15411,805,993,51656,796056301
01111,Alabama,4883,470,830,43183,210851267
01113,Alabama,14057,1202,913,47497,667644101
01115,Alabama,21980,1943,989,51425,1130294936
01117,Alabama,85169,7251,1284,66772,5686893091
01119,Alabama,2849,294,910,47332,134861268
01121,Alabama,31690,1578,1121,58301,1847553461
01123,Alabama,13046,1052,906,47093,614353369
01125,Alabama,99288,5406,1145,59535,5911116950
01127,Alabama,18709,1536,936,48692,910979331
01129,Alabama,5197,318,1670,86857,451361945
01131,Alabama,2682,324,1078,56070,150355958
01133,Alabama,7998,538,995,51725,413688472
01999,Alabama,83436,20638,1715,89155,7438657415
02000,Alaska,329164,25107,1382,71861,23654172459
02013,Alaska,1736,97,1373,71381,123929639
02016,Alaska,3267,158,1600,83204,271855388
02020,Alaska,147256,8829,1436,74666,10994958586
02050,Alaska,6426,303,1054,54820,352254562
02060,Alaska,1228,122,1361,70779,86921929
02063,Alaska,3593,399,1442,74978,269389919
02066,Alaska,1107,144,1093,56861,62931229
02068,Alaska,1965,147,1289,67009,131695233
02070,Alaska,2091,152,1299,67566,141286161
02090,Alaska,37015,2441,1340,69700,2579930067
02100,Alaska,1038,166,995,51748,53697522
02105,Alaska,1026,146,984,51184,52505763
02110,Alaska,17698,1173,1318,68540,1213037551
02122,Alaska,21474,2368,1200,62398,1339963485
02130,Alaska,7277,623,1204,62614,455612941
02150,Alaska,5539,475,1170,60845,337030648
02158,Alaska,1959,121,748,38914,76229027
02164,Alaska,867,111,985,51234,44411770
02170,Alaska,29515,2824,1122,58329,1721596243
02180,Alaska,3893,290,1447,75229,292897331
02185,Alaska,11794,225,2472,128567,1516363409
02188,Alaska,2999,148,1724,89651,268864149
02195,Alaska,1228,170,1069,55599,68303263
02198,Alaska,2111,231,1052,54711,115481112
02220,Alaska,4479,413,1184,61555,275706410
02230,Alaska,915,113,1116,58010,53069472
02240,Alaska,3187,257,1733,90122,287227031
02275,Alaska,778,104,1095,56956,44283007
02282,Alaska,330,44,1200,62398,20607000
02290,Alaska,2292,237,1002,52125,119449168
02999,Alaska,3080,2078,1765,91768,282683444
04000,Arizona,3222450,225488,1354,70406,226880878206
04001,Arizona,16611,630,1092,56805,943604349
04003,Arizona,34954,2604,1151,59877,2092921992
04005,Arizona,65975,4121,1048,54494,3595226686
04007,Arizona,15973,1138,1090,56684,905402699
04009,Arizona,10751,624,1100,57182,614784588
04011,Arizona,5832,110,1696,88182,514296886
04012,Arizona,6359,402,992,51608,328173662
04013,Arizona,2280645,142693,1420,73840,168403424931
04015,Arizona,56391,5056,985,51199,2887187220
04017,Arizona,28615,1970,970,50447,1443515964
04019,Arizona,386312,23608,1191,61936,23926675440
04021,Arizona,77687,5085,1118,58158,4518147650
04023,Arizona,13675,1240,1147,59656,815813132
04025,Arizona,71540,7444,1051,54666,3910777759
04027,Arizona,71978,3988,1036,53873,3877647657
04999,Arizona,79152,24772,1969,102376,8103277591
05000,Arkansas,1295577,103755,1123,58398,75659065447
05001,Arkansas,9514,626,1010,52542,499884892
05003,Arkansas,5759,501,964,50111,288595751
05005,Arkansas,16171,1323,866,45036,728282669
05007,Arkansas,144544,8444,1576,81978,11849357464
05009,Arkansas,14330,989,930,48350,692846217
05011,Arkansas,3600,332,834,43350,156071001
05013,Arkansas,3268,107,1416,73626,240571771
05015,Arkansas,10760,803,775,40303,433660956
05017,Arkansas,2663,350,835,43395,115570759
05019,Arkansas,8618,655,875,45514,392235474
05021,Arkansas,3120,352,810,42107,131366427
05023,Arkansas,6524,643,805,41874,273173647
05025,Arkansas,1045,127,859,44678,46707075
05027,Arkansas,8106,622,946,49212,398895662
05029,Arkansas,6503,499,954,49612,322616714
05031,Arkansas,55053,3006,994,51690,2845696726
05033,Arkansas,19290,1281,938,48778,940951755
05035,Arkansas,16197,1096,919,47790,774068067
05037,Arkansas,4761,453,795,41359,196891278
05039,Arkansas,2595,215,862,44813,116289060
05041,Arkansas,4132,433,911,47354,195668454
05043,Arkansas,6337,520,852,44295,280701627
05045,Arkansas,45513,3252,961,49974,2274472424
05047,Arkansas,4972,394,855,44454,221017203
05049,Arkansas,1775,214,793,41242,73200641
05051,Arkansas,38005,3256,889,46226,1756855357
05053,Arkansas,4601,354,996,51783,238263563
05055,Arkansas,15663,949,913,47490,743820586
05057,Arkansas,7628,502,871,45282,345410354
05059,Arkansas,7969,621,927,48229,384322376
05061,Arkansas,6139,338,842,43784,268790593
05063,Arkansas,17612,958,935,48642,856707447
05065,Arkansas,2949,256,800,41611,122724545
05067,Arkansas,5130,418,947,49233,252541444
05069,Arkansas,25233,1655,992,51569,1301268065
05071,Arkansas,8068,495,805,41859,337720243
05073,Arkansas,1074,163,774,40224,43200368
05075,Arkansas,3983,397,834,43366,172739786
05077,Arkansas,1623,212,846,43972,71362372
05079,Arkansas,2666,233,902,46882,124984337
05081,Arkansas,3083,234,1136,59053,182079835
05083,Arkansas,5089,454,787,40914,208203415
05085,Arkansas,15597,1416,828,43054,671530590
05087,Arkansas,3680,284,858,44603,164119292
05089,Arkansas,3239,310,793,41231,133558989
05091,Arkansas,12301,908,973,50579,622159475
05093,Arkansas,20139,1019,1396,72605,1462219773
05095,Arkansas,1761,232,801,41633,73318689
05097,Arkansas,1276,185,707,36741,46875082
05099,Arkansas,1877,188,937,48710,91449367
05101,Arkansas,1004,117,695,36124,36274028
05103,Arkansas,7057,568,929,48303,340888057
05105,Arkansas,1038,152,819,42605,44224029
05107,Arkansas,4531,579,800,41596,188473128
05109,Arkansas,2603,269,801,41635,108394441
05111,Arkansas,5164,455,962,50036,258378034
05113,Arkansas,5837,486,824,42869,250209673
05115,Arkansas,26851,1765,968,50324,1351282295
05117,Arkansas,1562,220,881,45818,71590768
05119,Arkansas,261631,14314,1221,63505,16614839610
05121,Arkansas,6201,394,772,40131,248846391
05123,Arkansas,6723,585,934,48570,326543385
05125,Arkansas,27501,2457,913,47454,1305045336
05127,Arkansas,3110,186,731,38033,118280494
05129,Arkansas,1407,163,707,36776,51734475
05131,Arkansas,67665,3751,1061,55173,3733238602
05133,Arkansas,4945,320,834,43390,214574675
05135,Arkansas,3954,405,740,38491,152190090
05137,Arkansas,2658,288,721,37476,99615105
05139,Arkansas,16449,1165,1186,61648,1014017012
05141,Arkansas,3804,350,844,43889,166938727
05143,Arkansas,120673,7052,1148,59680,7201797426
05145,Arkansas,26169,1804,886,46050,1205087304
05147,Arkansas,1981,185,881,45809,90732669
05149,Arkansas,6547,411,798,41516,271806133
05999,Arkansas,56975,22044,1697,88267,5029043903
06000,California,18183696,1850051,1772,92145,1675532109291
06001,California,790358,73285,1885,98026,77475630674
06003,California,975,85,932,48463,47263472
06005,California,12492,1348,1127,58581,731814818
06007,California,78999,9029,1106,57521,4544059097
06009,California,10263,1514,1112,57838,593620050
06011,California,9354,1056,1160,60337,564383154
06013,California,373992,39474,1658,86234,32250783208
06015,California,8328,845,1035,53835,448338968
06017,California,58585,6552,1274,66226,3879844759
06019,California,427076,44409,1114,57904,24729486106
06021,California,9835,1327,1040,54056,531622630
06023,California,51858,7685,1062,55212,2863232565
